,equity
2026-07-21 12:00:00+00:00,9963.984188873268
2026-07-21 16:00:00+00:00,10018.91305034957
2026-07-21 20:00:00+00:00,10013.373352268669
2026-07-22 00:00:00+00:00,10027.16534161807
2026-07-22 04:00:00+00:00,9966.856952509379
2026-07-22 08:00:00+00:00,9904.005358852717
2026-07-22 12:00:00+00:00,9932.426034339027
2026-07-22 16:00:00+00:00,9938.201381003999
2026-07-22 20:00:00+00:00,9916.64550992314
2026-07-23 00:00:00+00:00,9949.64762216648
2026-07-23 04:00:00+00:00,9870.95966929419
2026-07-23 08:00:00+00:00,9832.69044517
2026-07-23 12:00:00+00:00,9853.399428920993
2026-07-23 16:00:00+00:00,9807.173810996752
2026-07-23 20:00:00+00:00,9804.777570498043
2026-07-24 00:00:00+00:00,9804.777570498043
2026-07-24 04:00:00+00:00,9804.777570498043
2026-07-24 08:00:00+00:00,9804.777570498043
2026-07-24 12:00:00+00:00,9770.594731839075
2026-07-24 16:00:00+00:00,9768.172237696146
2026-07-24 20:00:00+00:00,9768.172237696146
2026-07-25 00:00:00+00:00,9768.172237696146
2026-07-25 04:00:00+00:00,9768.172237696146
2026-07-25 08:00:00+00:00,9768.172237696146
2026-07-25 12:00:00+00:00,9768.172237696146
2026-07-25 16:00:00+00:00,9768.172237696146
2026-07-25 20:00:00+00:00,9768.172237696146
2026-07-26 00:00:00+00:00,9768.172237696146
2026-07-26 04:00:00+00:00,9768.172237696146
2026-07-26 08:00:00+00:00,9768.172237696146
2026-07-26 12:00:00+00:00,9768.172237696146
2026-07-26 16:00:00+00:00,9768.172237696146
2026-07-26 20:00:00+00:00,9768.172237696146
2026-07-27 00:00:00+00:00,9768.172237696146
2026-07-27 04:00:00+00:00,9754.614173773753
2026-07-27 08:00:00+00:00,9748.693386393443
2026-07-27 12:00:00+00:00,9737.22573588409
2026-07-27 16:00:00+00:00,9686.987877794936
2026-07-27 20:00:00+00:00,9684.063177681064
2026-07-28 00:00:00+00:00,9684.063177681064
2026-07-28 04:00:00+00:00,9684.063177681064
2026-07-28 08:00:00+00:00,9684.063177681064
2026-07-28 12:00:00+00:00,9684.063177681064
2026-07-28 16:00:00+00:00,9684.063177681064
2026-07-28 20:00:00+00:00,9684.063177681064
2026-07-29 00:00:00+00:00,9684.063177681064
2026-07-29 04:00:00+00:00,9684.063177681064
2026-07-29 08:00:00+00:00,9684.063177681064
