ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,robust_score,minimum_sharpe,sharpe_stability,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_sortino,train_max_drawdown,train_trade_count,train_win_rate,train_final_equity,train_max_leverage_observed,train_average_leverage,train_turnover_multiple,train_rebalance_events,validation_total_return,validation_cagr,validation_annualized_volatility,validation_sharpe,validation_sortino,validation_max_drawdown,validation_trade_count,validation_win_rate,validation_final_equity,validation_max_leverage_observed,validation_average_leverage,validation_turnover_multiple,validation_rebalance_events,pre_holdout_total_return,pre_holdout_cagr,pre_holdout_annualized_volatility,pre_holdout_sharpe,pre_holdout_sortino,pre_holdout_max_drawdown,pre_holdout_trade_count,pre_holdout_win_rate,pre_holdout_final_equity,pre_holdout_max_leverage_observed,pre_holdout_average_leverage,pre_holdout_turnover_multiple,pre_holdout_rebalance_events
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.5,True,36,0.0002,0.5,1.7375325263942911,1.5199631852686548,0.24560080715949484,4.669673591438527,0.7830639410865281,0.4442401109030662,1.5199631852686548,2.563949456914941,-0.29523532284803067,89.0,0.43820224719101125,56696.735914385274,4.309627027710622,0.3100108039570337,249.61165706139238,259.0,4.894958557248656,1.4269714633129853,0.5999494621492394,1.7655639924281497,3.276154389296663,-0.2940997313282082,73.0,0.3698630136986301,58949.58557248656,5.244568746965763,0.6394849445670998,283.4315735280675,207.0,32.42249085465745,1.017021062294508,0.5122162502627933,1.618059273411676,2.866361127376724,-0.3026940661542715,162.0,0.4074074074074074,334224.9085465745,5.244568746965763,0.4418365274304647,533.0432305894599,466.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,18,0.0003,0.5,1.7371791532947982,1.4983350912334072,0.4342169043783921,4.727128273271487,0.7890662548482981,0.45668828571370007,1.4983350912334072,2.4897235841600693,-0.30872839181335865,89.0,0.43820224719101125,57271.28273271487,4.309627027710622,0.3302864687169854,262.9561100878832,235.0,7.136134273162757,1.85102767232638,0.64410584483031,1.9325519956117994,3.7035403341695656,-0.325013949512869,73.0,0.3835616438356164,81361.34273162756,5.244568746965763,0.6679955272232682,276.634879568961,172.0,45.59668463096352,1.155581549912228,0.5395218770255418,1.6837847674952544,3.016723406550299,-0.32501394951287,162.0,0.41358024691358025,465966.8463096352,5.244568746965763,0.4654070608177477,539.5909896568443,407.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.5,True,18,0.00012,0.5,1.7364997216826352,1.5631094469290352,0.1974162622713942,4.087781754877866,0.7198540036170091,0.3963533280603904,1.5631094469290352,2.6345203089649383,-0.2952353228480312,89.0,0.4606741573033708,50877.81754877866,4.309627027710622,0.28972309195983637,239.02870413240288,268.0,4.679445561197556,1.382214978184309,0.5866902299994431,1.7605257092004294,3.2823526917087,-0.2940997313282082,73.0,0.3698630136986301,56794.455611975565,5.244568746965763,0.6263881526906651,285.18926371361,214.0,27.89577950408309,0.9591766223402263,0.48159093635444034,1.629693410674957,2.904715699265651,-0.3026940661542721,162.0,0.41975308641975306,288957.7950408309,5.244568746965763,0.42442597066494625,524.2179678460129,482.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,18,0.00012,0.5,1.731308405012303,1.5486815884083514,0.34301728673234577,4.072769012124893,0.7181608493082456,0.4004842401963454,1.5486815884083514,2.5949537686077573,-0.30872839181335876,89.0,0.47191011235955055,50727.69012124893,4.309627027710622,0.29847080617619487,237.17095637461722,233.0,6.37264184406792,1.714024143782999,0.6258131709839503,1.8916988751406971,3.6917167030992006,-0.325013949512869,73.0,0.3835616438356164,73726.4184406792,5.244568746965763,0.6433967722447574,278.32495461224516,182.0,36.399709084083085,1.0628763507938577,0.5028866715367736,1.6815872964312166,3.07496204352584,-0.32501394951286955,162.0,0.43209876543209874,373997.0908408309,5.244568746965763,0.43647895133006415,515.4959109868624,415.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,48,-0.01,0.25,True,6,0.0002,0.5,1.729114809345047,1.5507952138956727,0.4508247320413381,4.120991176901338,0.7235876017883263,0.402592102414075,1.5507952138956727,2.5884191129076486,-0.34756700882715486,89.0,0.48314606741573035,51209.91176901338,4.309627027710622,0.3019028066874383,309.0480313688979,338.0,7.50510548474389,1.9149280441986387,0.62768128705847,2.0016199459370108,3.9245523865292253,-0.300494499913617,73.0,0.3835616438356164,85051.05484743889,5.244568746965763,0.6401363359472987,290.3987008912842,218.0,42.55457014598856,1.126679638992488,0.5048326422806243,1.7374711164554382,3.1796966189784444,-0.35447190965922626,162.0,0.4382716049382716,435545.70145988563,5.244568746965763,0.43723324450296,599.446732260182,556.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,48,-0.01,0.5,True,18,0.0003,0.5,1.7267993931183665,1.4918517370605096,0.49379145503597166,4.643276734227412,0.7802926506272077,0.4547217471151216,1.4918517370605096,2.4974694924573813,-0.3342012155930959,89.0,0.449438202247191,56432.76734227413,4.309627027710622,0.32769262488087697,260.6201935423743,251.0,7.666342598215813,1.9424158624550656,0.6421150544299248,1.9856431920964812,3.8257944838702516,-0.30979533176777774,73.0,0.3835616438356164,86663.42598215814,5.244568746965763,0.6608178914424137,267.94044517182954,181.0,47.90656955535553,1.1765344852325708,0.5375770960316776,1.7058051536509324,3.076272915737766,-0.3412475707631173,162.0,0.41975308641975306,489065.6955535553,5.244568746965763,0.4609791984202767,528.5606387142038,432.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.25,True,18,0.0003,0.5,1.7223702784611525,1.486543334363481,0.32668568848359114,4.558449086621395,0.7713280249907868,0.4522522396449234,1.486543334363481,2.476954785408106,-0.28767337667851267,89.0,0.4157303370786517,55584.49086621395,4.309627027710622,0.3151176501664114,268.1037917839833,269.0,5.317430454574519,1.5123935596723452,0.6050321370227031,1.8132290228470722,3.332279179470898,-0.2924570578016171,73.0,0.3698630136986301,63174.304545745195,5.244568746965763,0.645343463253942,288.3279662475194,204.0,34.11511554002403,1.037042644244179,0.5187747954605807,1.6233675723919851,2.843380964134074,-0.2952121504079608,162.0,0.3950617283950617,351151.15540024027,5.244568746965763,0.4472441249157189,556.4317580315026,473.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.5,True,6,0.00012,0.5,1.7211739243359065,1.5657015646269927,0.2604408717946338,3.9331559790191077,0.7022527564523782,0.38688988846726774,1.5657015646269927,2.6202470608551693,-0.2952353228480308,89.0,0.449438202247191,49331.55979019107,4.309627027710622,0.28729658996575996,261.0176407863954,300.0,4.880890941206855,1.4240752153214067,0.5697659508530931,1.8261424364216265,3.4828438859177453,-0.2956293870224054,73.0,0.3835616438356164,58808.90941206855,5.244568746965763,0.599039121887522,319.0481303282152,248.0,28.011352308574057,0.9607408226553102,0.46867578301726104,1.663432451617187,2.9910566954216624,-0.30269406615427163,162.0,0.41975308641975306,290113.52308574057,5.244568746965763,0.41202772890106815,580.0657711146106,548.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,48,-0.01,0.25,True,18,0.0003,0.5,1.7193814477116114,1.4831578758479034,0.5283820133428745,4.562028102721326,0.7717080931952947,0.4538601526616825,1.4831578758479034,2.4866301633085093,-0.34756700882715463,89.0,0.449438202247191,55620.28102721326,4.309627027710622,0.3254912205090707,260.0121262853162,251.0,7.9456262282642935,1.989429797801208,0.6415444539238018,2.011539889190778,3.880011930239989,-0.300494499913617,73.0,0.3835616438356164,89456.26228264294,5.244568746965763,0.6572531727312222,263.98252094280963,181.0,48.75582447804689,1.1840391559863437,0.5368699589277932,1.7137428253425993,3.094923468988206,-0.35447190965922604,162.0,0.41975308641975306,497558.2447804689,5.244568746965763,0.4582323190719568,523.9946472281258,432.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,48,0.0,0.5,True,18,0.0003,0.5,1.7178767506142463,1.4879103918395338,0.44790483140467274,4.6071932792231465,0.7764903901576121,0.4543953527848075,1.4879103918395338,2.488908015727213,-0.33202018135901445,89.0,0.43820224719101125,56071.93279223146,4.309627027710622,0.32556907723113165,270.85258704382125,262.0,6.937121785147699,1.815959171657505,0.6332557840262528,1.9358152232442065,3.699357154420201,-0.2960894224551256,73.0,0.3835616438356164,79371.21785147699,5.244568746965763,0.656634187869339,266.7283453057837,184.0,43.504975930055906,1.135877998499466,0.5331845063006181,1.6804213481598131,3.014226840660568,-0.33908961909123214,162.0,0.41358024691358025,445049.75930055906,5.244568746965763,0.4580313628778364,537.580932349605,446.0
