stop_atr,take_profit_atr,trailing_atr,downside_return_threshold,downside_vol_ratio,exit_cooldown_bars,drawdown_brake_enabled,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_max_drawdown,train_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_total_return,robust_score,train_trade_count,validation_trade_count,downside_trigger_count,fast_downside_exit_count,drawdown_profile
3.5,12.0,3.0,-0.04,1.2,3,True,0.15,0.075,0.3,0.7928211865281058,1.8913236674264107,-0.21786110819154558,4.763267437096934,1.3417654777807484,1.8328679577222566,-0.318872180621006,4.488125704920688,1.8825016409321051,106.0,78.0,1305,60,
2.5,12.0,3.0,-0.04,1.2,3,True,0.15,0.075,0.3,0.7928211865281058,1.8913236674264107,-0.21786110819154558,4.763267437096934,1.3417654777807484,1.8328679577222566,-0.318872180621006,4.488125704920688,1.8825016409321051,106.0,78.0,1305,60,
3.5,12.0,3.5,-0.05,1.2,3,True,0.15,0.075,0.3,0.8070775825092456,1.9125714939186125,-0.223113603228562,4.901861659811913,1.3441439129949746,1.832633188912996,-0.3138220252576527,4.499284589684091,1.8824919038005643,102.0,77.0,1123,48,
3.0,12.0,3.5,-0.05,1.2,3,True,0.15,0.075,0.3,0.8070775825092456,1.9125714939186125,-0.223113603228562,4.901861659811913,1.3441439129949746,1.832633188912996,-0.3138220252576527,4.499284589684091,1.8824919038005643,102.0,77.0,1123,48,
3.0,12.0,2.5,-0.06,1.2,0,False,0.15,0.075,0.3,1.052268481613678,1.9404728356680832,-0.2614958036237015,7.645174497720999,1.3531035448290516,1.80201707626068,-0.31312832468222074,4.541422223248715,1.8817228707715647,114.0,88.0,1000,45,disabled
3.5,12.0,2.5,-0.06,1.2,0,False,0.15,0.075,0.3,1.052268481613678,1.9404728356680832,-0.2614958036237015,7.645174497720999,1.3531035448290516,1.80201707626068,-0.31312832468222074,4.541422223248715,1.8817228707715647,114.0,88.0,1000,45,disabled
2.5,12.0,2.5,-0.06,1.2,0,False,0.15,0.075,0.3,1.052268481613678,1.9404728356680832,-0.2614958036237015,7.645174497720999,1.3531035448290516,1.80201707626068,-0.31312832468222074,4.541422223248715,1.8817228707715647,114.0,88.0,1000,45,disabled
3.5,12.0,3.5,-0.04,1.2,3,True,0.15,0.075,0.3,0.7870010204156672,1.8816170055939156,-0.22083401110759382,4.707316076266659,1.334751914193705,1.8272772206411778,-0.32294786594628433,4.455286239606788,1.8742604191705143,106.0,78.0,1305,60,
3.0,12.0,3.5,-0.04,1.2,3,True,0.15,0.075,0.3,0.7870010204156672,1.8816170055939156,-0.22083401110759382,4.707316076266659,1.334751914193705,1.8272772206411778,-0.32294786594628433,4.455286239606788,1.8742604191705143,106.0,78.0,1305,60,
2.5,12.0,3.5,-0.04,1.2,3,True,0.15,0.075,0.3,0.7870010204156672,1.8816170055939156,-0.22083401110759382,4.707316076266659,1.334751914193705,1.8272772206411778,-0.32294786594628433,4.455286239606788,1.8742604191705143,106.0,78.0,1305,60,
2.5,12.0,3.0,-0.06,1.3,0,True,0.2,0.1,0.5,0.9757659973603947,1.9786726846057119,-0.2308256547124713,6.713899819089104,1.3364561458768422,1.7907645842257012,-0.3114849725765114,4.463256861008701,1.8705049563415446,108.0,82.0,783,31,mild
3.0,12.0,3.0,-0.06,1.3,0,True,0.2,0.1,0.5,0.9757659973603947,1.9786726846057119,-0.2308256547124713,6.713899819089104,1.3364561458768422,1.7907645842257012,-0.3114849725765114,4.463256861008701,1.8705049563415446,108.0,82.0,783,31,mild
2.5,12.0,2.5,-0.05,1.3,0,False,0.15,0.075,0.3,1.0322904202724081,1.9190354282998991,-0.2658040130777659,7.395132950229515,1.346176969296447,1.796858293581095,-0.31312832468222074,4.50883205114464,1.870414371096694,115.0,87.0,920,51,disabled
3.5,12.0,2.5,-0.05,1.3,0,False,0.15,0.075,0.3,1.0322904202724081,1.9190354282998991,-0.2658040130777659,7.395132950229515,1.346176969296447,1.796858293581095,-0.31312832468222074,4.50883205114464,1.870414371096694,115.0,87.0,920,51,disabled
3.0,12.0,2.5,-0.05,1.3,0,False,0.15,0.075,0.3,1.0322904202724081,1.9190354282998991,-0.2658040130777659,7.395132950229515,1.346176969296447,1.796858293581095,-0.31312832468222074,4.50883205114464,1.870414371096694,115.0,87.0,920,51,disabled
3.0,12.0,3.0,-0.06,1.1,0,True,0.2,0.1,0.5,0.9749014099154321,1.9777377560946388,-0.23076793269996587,6.703776763701165,1.3315777151596428,1.7870669671241717,-0.31123157484477126,4.440456159752874,1.866663282757275,111.0,85.0,1275,55,mild
2.5,12.0,3.0,-0.06,1.1,0,True,0.2,0.1,0.5,0.9749014099154321,1.9777377560946388,-0.23076793269996587,6.703776763701165,1.3315777151596428,1.7870669671241717,-0.31123157484477126,4.440456159752874,1.866663282757275,111.0,85.0,1275,55,mild
2.5,12.0,3.0,-0.06,1.2,0,True,0.2,0.1,0.5,0.9730525371299272,1.9751011156756988,-0.23167291476910135,6.682158894142698,1.3297963089816163,1.785693370614236,-0.31123157484477126,4.432142152386204,1.8644674206556706,111.0,84.0,1000,45,mild
3.0,12.0,3.0,-0.06,1.2,0,True,0.2,0.1,0.5,0.9730525371299272,1.9751011156756988,-0.23167291476910135,6.682158894142698,1.3297963089816163,1.785693370614236,-0.31123157484477126,4.432142152386204,1.8644674206556706,111.0,84.0,1000,45,mild
3.0,12.0,2.5,-0.05,1.1,0,False,0.15,0.075,0.3,1.025450262573394,1.9109573486839273,-0.2671631197271497,7.31064408121385,1.340941768927745,1.7929076865659683,-0.31312832468222074,4.484263760227062,1.8644161792170724,118.0,90.0,1385,70,disabled
2.5,12.0,2.5,-0.05,1.1,0,False,0.15,0.075,0.3,1.025450262573394,1.9109573486839273,-0.2671631197271497,7.31064408121385,1.340941768927745,1.7929076865659683,-0.31312832468222074,4.484263760227062,1.8644161792170724,118.0,90.0,1385,70,disabled
3.5,12.0,2.5,-0.05,1.1,0,False,0.15,0.075,0.3,1.025450262573394,1.9109573486839273,-0.2671631197271497,7.31064408121385,1.340941768927745,1.7929076865659683,-0.31312832468222074,4.484263760227062,1.8644161792170724,118.0,90.0,1385,70,disabled
2.5,12.0,2.5,-0.05,1.2,0,False,0.15,0.075,0.3,1.0283364041826597,1.9143609746551367,-0.26785729733247987,7.346223904348886,1.339153208288117,1.79153552870482,-0.31312832468222074,4.475882806872343,1.863274160875112,118.0,89.0,1123,62,disabled
3.0,12.0,2.5,-0.05,1.2,0,False,0.15,0.075,0.3,1.0283364041826597,1.9143609746551367,-0.26785729733247987,7.346223904348886,1.339153208288117,1.79153552870482,-0.31312832468222074,4.475882806872343,1.863274160875112,118.0,89.0,1123,62,disabled
3.5,12.0,2.5,-0.05,1.2,0,False,0.15,0.075,0.3,1.0283364041826597,1.9143609746551367,-0.26785729733247987,7.346223904348886,1.339153208288117,1.79153552870482,-0.31312832468222074,4.475882806872343,1.863274160875112,118.0,89.0,1123,62,disabled
2.5,12.0,2.5,-0.06,1.1,3,False,0.15,0.075,0.3,0.9980402388888363,1.9263089142624366,-0.2827358523170407,6.977765658697376,1.350080941653181,1.797270308552772,-0.3095357777357579,4.52718877301126,1.8555104301720189,104.0,80.0,1275,38,disabled
