ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,train_cagr,train_sharpe,train_max_drawdown,train_turnover_multiple,train_max_leverage_observed,validation_cagr,validation_sharpe,validation_max_drawdown,validation_turnover_multiple,validation_max_leverage_observed,pre_cagr,pre_sharpe,pre_max_drawdown,pre_turnover_multiple,pre_max_leverage_observed,score
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.0,5.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.7139782281984974,1.3507777610537837,-0.2952618070928337,242.57249486702256,4.104406693057735,1.6971009801593975,1.904412800786996,-0.3112729083562076,262.26223003836066,4.994827378062632,1.054714530656975,1.59316793630504,-0.3112729083562089,504.83472490538315,4.994827378062632,1.2920308348994933
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.0,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.7139782281984974,1.3507777610537837,-0.2952618070928337,242.57249486702256,4.104406693057735,1.6971009801593975,1.904412800786996,-0.3112729083562076,262.26223003836066,4.994827378062632,1.054714530656975,1.59316793630504,-0.3112729083562089,504.83472490538315,4.994827378062632,1.2920308348994933
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.0,5.0,1.25,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.7116720139936257,1.3482883511627541,-0.2984586745641904,240.7585185091733,4.104406693057735,1.6939054185104974,1.9026599673051288,-0.3107669050589137,261.18947948705346,4.994827378062632,1.0520822013484343,1.5910386883547134,-0.3107669050589126,501.9479979962267,4.994827378062632,1.2891350570162576
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.0,6.0,1.25,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.7116720139936257,1.3482883511627541,-0.2984586745641904,240.7585185091733,4.104406693057735,1.6939054185104974,1.9026599673051288,-0.3107669050589137,261.18947948705346,4.994827378062632,1.0520822013484343,1.5910386883547134,-0.3107669050589126,501.9479979962267,4.994827378062632,1.2891350570162576
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,6.0,1.25,0.65,False,48,True,12,90,1.25,1.1,0.25,36,0.752142564964853,1.3363236765653494,-0.3428494332779395,281.0763645270992,4.720067697016395,1.7128035509183603,1.8218555477216771,-0.3517337051341719,306.1373990553952,5.744051484772026,1.0868785392314888,1.5480536044274424,-0.35173370513417124,587.2137635824945,5.744051484772026,1.2861059206688923
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,6.0,1.25,0.5,False,48,True,12,90,1.25,1.1,0.25,36,0.7494539524004007,1.3336765471429695,-0.3462568560129953,278.99029171557254,4.720067697016395,1.7062027671065283,1.8183976127062143,-0.35258812020686714,304.4155274486904,5.744051484772026,1.08292605837019,1.5450609144668976,-0.35383317551224214,583.405819164263,5.744051484772026,1.2803487313753459
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.35,0.65,False,48,True,12,90,1.25,1.1,0.25,36,0.7408845683737044,1.3354894743173236,-0.3396645680051493,276.5054494524651,4.654397189927472,1.68085701015168,1.8207538275683472,-0.34775524029190896,301.3330863165023,5.664134246723025,1.0689964398033314,1.547105196751847,-0.3477552402919094,577.8385357689674,5.664134246723025,1.2712566079267822
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.35,0.5,False,48,True,12,90,1.25,1.1,0.25,36,0.7384318707370101,1.333003837603989,-0.34280343293984816,274.60077427672337,4.654397189927472,1.6748828373207267,1.8175282130422357,-0.3485421443825535,299.7609426755979,5.664134246723025,1.0654031975021625,1.544304440909938,-0.35031402658247246,574.3617169523213,5.664134246723025,1.2656065078601884
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,5.0,1.35,0.65,False,48,True,12,90,1.25,1.1,0.25,36,0.8053956756227207,1.3315667010440047,-0.368225729660001,302.6439555557158,5.0,1.5915193134939125,1.7361642228002925,-0.3761038985734849,327.6243242823949,5.0,1.0861734021058336,1.5053517963003957,-0.3761038985734848,630.2682798381107,5.0,1.2636677354196268
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,5.0,1.15,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.6902831473424602,1.35168889852102,-0.28485075147971795,234.98531743580088,3.964856865493772,1.6237736226375605,1.9050529111076593,-0.3020152752414649,253.73579541773216,4.825003247208501,1.0152822401624202,1.5939460308710847,-0.3020152752414651,488.7211128535331,4.825003247208501,1.2600774726490713
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.15,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.6902831473424602,1.35168889852102,-0.28485075147971795,234.98531743580088,3.964856865493772,1.6237736226375605,1.9050529111076593,-0.3020152752414649,253.73579541773216,4.825003247208501,1.0152822401624202,1.5939460308710847,-0.3020152752414651,488.7211128535331,4.825003247208501,1.2600774726490713
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,5.0,1.35,0.5,False,48,True,12,90,1.25,1.1,0.25,36,0.8026253476857423,1.3290771352281237,-0.37150157255079796,300.5578827441892,5.0,1.5852136380509716,1.7327494056259982,-0.37692619372761693,325.9024526756901,5.0,1.0822222567515762,1.5024667026052239,-0.37818260676016824,626.4603354198794,5.0,1.2579791645056346
