ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
30,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5507740664372927,0.1573199568123287,0.1313892444416068,1.1769489750783053,1.8173417401676852,-0.12311672853227351,95.0,0.4421052631578947,15507.740664372926
30,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5507740664372927,0.1573199568123287,0.1313892444416068,1.1769489750783053,1.8173417401676852,-0.12311672853227351,95.0,0.4421052631578947,15507.740664372926
30,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5401212788247634,0.15466647959626934,0.13192936143013567,1.1552825747944369,1.7817861955347634,-0.13524601761533295,108.0,0.4444444444444444,15401.212788247632
30,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5928723867076617,0.16768875262970395,0.14439706951275452,1.1450473347391354,1.7856640193905047,-0.1779424630138634,117.0,0.39316239316239315,15928.723867076618
30,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5928723867076617,0.16768875262970395,0.14439706951275452,1.1450473347391354,1.7856640193905047,-0.1779424630138634,117.0,0.39316239316239315,15928.723867076618
30,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5928723867076617,0.16768875262970395,0.14439706951275452,1.1450473347391354,1.7856640193905047,-0.1779424630138634,117.0,0.39316239316239315,15928.723867076618
24,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5962349289424276,0.16850902474432972,0.14607472239739017,1.1383630703646228,1.7794574519733923,-0.17801315527150674,117.0,0.41025641025641024,15962.349289424275
24,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5962349289424276,0.16850902474432972,0.14607472239739017,1.1383630703646228,1.7794574519733923,-0.17801315527150674,117.0,0.41025641025641024,15962.349289424275
24,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5962349289424276,0.16850902474432972,0.14607472239739017,1.1383630703646228,1.7794574519733923,-0.17801315527150674,117.0,0.41025641025641024,15962.349289424275
30,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.52368895091691,0.15054927833473108,0.1318697818240491,1.1286738979473891,1.7399560044466855,-0.13524601761533472,107.0,0.4392523364485981,15236.889509169101
30,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5124564297030434,0.14771784373691887,0.13187654618285716,1.109950653735221,1.7102203781367045,-0.14162091942588229,105.0,0.4380952380952381,15124.564297030434
24,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5115997727390651,0.1475013273114114,0.13175529858044258,1.1094180608486472,1.7087277629756128,-0.12802006468467986,99.0,0.43434343434343436,15115.997727390652
24,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5804377641362946,0.16464532901742812,0.14749301547663224,1.1063771067159398,1.7367274289595664,-0.13962034574237803,146.0,0.3972602739726027,15804.377641362946
24,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5804377641362946,0.16464532901742812,0.14749301547663224,1.1063771067159398,1.7367274289595664,-0.13962034574237803,146.0,0.3972602739726027,15804.377641362946
24,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5804377641362946,0.16464532901742812,0.14749301547663224,1.1063771067159398,1.7367274289595664,-0.13962034574237803,146.0,0.3972602739726027,15804.377641362946
30,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5719962778512302,0.16257012876971344,0.1457552169693677,1.1056050140795117,1.7228353230762343,-0.18872221714312143,117.0,0.4017094017094017,15719.962778512303
30,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5719962778512302,0.16257012876971344,0.1457552169693677,1.1056050140795117,1.7228353230762343,-0.18872221714312143,117.0,0.4017094017094017,15719.962778512303
30,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5719962778512302,0.16257012876971344,0.1457552169693677,1.1056050140795117,1.7228353230762343,-0.18872221714312143,117.0,0.4017094017094017,15719.962778512303
24,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5494728573797398,0.1569964949058642,0.14442576260568987,1.0811956464388066,1.685343895013518,-0.18765832091973234,119.0,0.3697478991596639,15494.728573797398
24,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5494728573797398,0.1569964949058642,0.14442576260568987,1.0811956464388066,1.685343895013518,-0.18765832091973234,119.0,0.3697478991596639,15494.728573797398
24,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5494728573797398,0.1569964949058642,0.14442576260568987,1.0811956464388066,1.685343895013518,-0.18765832091973234,119.0,0.3697478991596639,15494.728573797398
24,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.49477870568638416,0.14323319118729683,0.13180322574710635,1.0808077514365675,1.6633400611645317,-0.13772344862602115,97.0,0.422680412371134,14947.787056863841
24,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.49477870568638416,0.14323319118729683,0.13180322574710635,1.0808077514365675,1.6633400611645317,-0.13772344862602115,97.0,0.422680412371134,14947.787056863841
18,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.545601249902885,0.15603299600525622,0.14423577982259173,1.076654724651283,1.6802667494350723,-0.1957236334271396,119.0,0.3949579831932773,15456.01249902885
