ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
24,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5542220655245149,0.15817620543738764,0.17571544591940216,0.9227713766495733,1.5202894734611416,-0.1748443382871997,3612.0,0.49640088593576964,15542.22065524515
18,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5491374052765507,0.15691307695208656,0.17526112482728665,0.9184914329599625,1.5115769440295013,-0.15160551029689018,3612.0,0.4958471760797342,15491.374052765508
18,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5412477363145478,0.1549476438620927,0.17590694631066106,0.906103893318087,1.4914391629988326,-0.1516055102968903,3657.0,0.49576155318567133,15412.47736314548
24,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5418024752207802,0.15508605655944252,0.17637790726826702,0.904828562306209,1.4908401443423938,-0.1748443382871997,3660.0,0.496448087431694,15418.024752207803
18,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5354425024844023,0.1534971847668336,0.17456298518798025,0.9045498355220333,1.4821026915592053,-0.14811378386594964,3616.0,0.5,15354.425024844022
18,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5363408186294969,0.15372187130472637,0.17519464632854076,0.9030167920811166,1.4857906558240648,-0.15160551029689018,3605.0,0.4954230235783634,15363.40818629497
18,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5363408186294969,0.15372187130472637,0.17519464632854076,0.9030167920811166,1.4857906558240648,-0.15160551029689018,3605.0,0.4954230235783634,15363.40818629497
24,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5352148195051498,0.15344022284823544,0.17627886270671508,0.8971540665976265,1.4780834859482992,-0.1748443382871997,3650.0,0.4958904109589041,15352.148195051497
30,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5883104251888112,0.16657404085927507,0.19293157110780837,0.894233233585902,1.506782743808679,-0.1622224484905238,4335.0,0.4925028835063437,15883.104251888111
30,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5883104251888112,0.16657404085927507,0.19293157110780837,0.894233233585902,1.506782743808679,-0.1622224484905238,4335.0,0.4925028835063437,15883.104251888111
30,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5883104251888112,0.16657404085927507,0.19293157110780837,0.894233233585902,1.506782743808679,-0.1622224484905238,4335.0,0.4925028835063437,15883.104251888111
18,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.527622522695357,0.1515375401916048,0.17521093722088754,0.8921529809507732,1.4620637250044575,-0.14811378386594898,3661.0,0.49986342529363564,15276.22522695357
18,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5227590420259012,0.1503154014474335,0.17449621840730375,0.8890094397949733,1.456322276112838,-0.14811378386594964,3609.0,0.4995843724023275,15227.590420259012
18,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5227590420259012,0.1503154014474335,0.17449621840730375,0.8890094397949733,1.456322276112838,-0.14811378386594964,3609.0,0.4995843724023275,15227.590420259012
18,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.524064201368782,0.15064362880032856,0.17585816001333915,0.8850891816666134,1.4564272949721075,-0.15160551029689018,3653.0,0.49548316452231045,15240.64201368782
