ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_sortino,train_max_drawdown,train_average_leverage,train_turnover_multiple,validation_cagr,validation_sharpe,validation_sortino,validation_max_drawdown,validation_average_leverage,validation_turnover_multiple,pre_cagr,pre_sharpe,pre_sortino,pre_max_drawdown,pre_average_leverage,pre_turnover_multiple,score
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.25,0.15,0.75,0.9393330879354482,1.751304772687377,3.1807942907180897,-0.25837294250850085,0.2890067563833167,364.40522811810933,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2301137545956755,1.8062680289132582,3.3520262208300893,-0.3413189922974479,0.4154819313536316,711.2035123937131,1.7108656194504654
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.2,0.15,0.75,0.9378333694710772,1.7495898185535108,3.1775470268533925,-0.2609012926449017,0.2889237217171374,364.17845062327353,1.7502737048098518,1.9260881916262356,3.6406992976469965,-0.34131899229744844,0.6050899362004079,346.7182429287733,1.2290629624242433,1.8053877270944374,3.350329792823864,-0.3413189922974478,0.41542481793348696,710.8966935520468,1.7094887460467476
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.2,0.05,0.25,0.9085598344630008,1.7348968481519274,3.204328981772279,-0.2630186425346761,0.28300927626596983,355.75322202686414,1.8080883539784285,1.9603900931578473,3.708344191353261,-0.34131899229744844,0.5999447048608584,343.9674060253421,1.2272621967494222,1.8127965811761808,3.3903055510397047,-0.3413189922974482,0.40981814233212394,699.7206280522062,1.7064470202110293
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.25,0.05,0.25,0.924967230259564,1.7272832609166662,3.1137023250464044,-0.2918832012802599,0.2889521316748017,361.42131945567473,1.8080883539784285,1.9603900931578473,3.708344191353261,-0.34131899229744844,0.5999447048608584,343.9674060253421,1.2387280444238016,1.8114015377280288,3.3516201608152842,-0.34131899229744744,0.4133832050185387,705.3887254810168,1.7036456196057743
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.25,0.1,0.25,0.8540813696093561,1.7560765243502556,3.177827180672344,-0.2005560243283595,0.2642258705977992,337.7630003659131,1.7558383282795313,1.9290079308755426,3.6473601442160137,-0.3413189922974482,0.6039099113813217,346.7982842756038,1.172519725692394,1.7982198232415614,3.3361548287954674,-0.341318992297448,0.4001366718089403,684.561284641517,1.7026104968317959
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.2,0.05,0.5,0.9100947736491314,1.7290461074722185,3.175766254920804,-0.27210792276466766,0.28762558479098016,361.26877481424333,1.788783118349714,1.9491103289729044,3.6866830173919665,-0.34131899229744844,0.6016658650677359,344.9110321087627,1.2221951823125545,1.8050973692347658,3.3678269303113435,-0.34131899229744667,0.41327607460067284,706.179806923006,1.6984358696900157
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.15,0.05,0.75,0.9153027516821204,1.7234437259422852,3.138379109505169,-0.28196896569117114,0.29189304249783793,365.48100318978163,1.7912462214182194,1.9514360599484948,3.696029922379828,-0.34131899229744844,0.6020644633273199,343.5003905198801,1.226613935539028,1.804548531667844,3.356699729422549,-0.3413189922974482,0.4159955650081562,708.9813937096617,1.6958936310402648
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.25,0.05,0.5,0.9200326682183946,1.7193746690929288,3.097867377339999,-0.2921256079353334,0.2915846458556458,365.03816015791176,1.788783118349714,1.9491103289729044,3.6866830173919665,-0.34131899229744844,0.6016658650677359,344.9110321087627,1.2291233123898935,1.802147891172403,3.3335916144691433,-0.34131899229744855,0.4156510778447196,709.9491922666743,1.6933328956045697
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.25,0.1,0.25,0.928478494156799,1.727916243355627,3.1116920586047008,-0.29188320128026113,0.2915604664154599,365.7389671648751,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2226179009592633,1.7954670435321542,3.3191028832381213,-0.341318992297448,0.4170138778206425,712.5372514404789,1.6931646362533659
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.2,0.1,0.75,0.8950118080389797,1.7486189247185542,3.180672420303436,-0.2717886897304922,0.28481614527713794,359.61546898115216,1.7239396040483825,1.9116297704629148,3.6102879992888037,-0.34936321645531465,0.6034643308816385,346.7182429287733,1.190934735511219,1.792897092400246,3.3296072978816205,-0.3493632164553141,0.41231030164106236,706.3337119099256,1.6928559481536378
