,V4,V4.1.2,V4.2.2,V7.1,V7.1.2,V7.1.3,BTC
2024-07-15 08:00:00+00:00,294210.77602914814,232304.0230208257,127213.7692244373,597611.5215199906,737185.7632103275,300285.7471403846,86982.89172142101
2024-07-15 12:00:00+00:00,294210.38513059483,232304.0230208257,127213.7692244373,595303.537085989,734412.4453527646,299425.4081471318,86451.01881149046
2024-07-15 16:00:00+00:00,294210.94602026144,232304.0230208257,127213.69075898443,598411.4267290075,738448.6073941218,300658.2152927615,87218.15651547776
2024-07-15 20:00:00+00:00,294211.262403726,232304.0230208257,127213.69075898443,600164.5075057888,740725.3028046468,301353.66203550017,87666.80744705159
2024-07-16 00:00:00+00:00,294212.65145329334,232304.0230208257,127212.9180121413,607861.2311586414,750720.9034915132,304406.03527489235,89564.85013812633
2024-07-16 04:00:00+00:00,294377.2179489594,232304.0230208257,127212.9180121413,608333.5705856476,751904.4152988268,304861.25230705267,89626.47040496286
2024-07-16 08:00:00+00:00,273530.465447532,227305.8758302423,125126.20104769658,558183.1034255028,686553.1527298475,284993.8703443096,87074.00663283323
2024-07-16 12:00:00+00:00,274802.0502910756,227696.53258378938,125288.23906289869,562498.8451542035,692450.2441633544,286144.7818977973,88234.40626449636
2024-07-16 16:00:00+00:00,276930.94070640125,228334.63799587643,125551.40121923166,567576.7262503891,698698.7341317137,288190.7590951957,89777.12849556543
2024-07-16 20:00:00+00:00,278920.4888531956,228864.12489471794,125769.75033399469,572250.4213767067,704824.9223980336,290243.2462624964,90180.49891645262
2024-07-17 00:00:00+00:00,277984.7652583738,228632.7163363635,125674.99892593564,570014.9810717979,702071.690891843,289347.84196226735,90020.97858522637
2024-07-17 04:00:00+00:00,282846.6125691778,229835.07254855984,126170.82103304917,581629.9168231547,716376.9742773095,294004.25864091434,90924.92712884175
2024-07-17 08:00:00+00:00,279693.5846038082,229055.3148723024,125849.94558650593,574097.3443463068,707099.6449653255,290985.24678223854,90320.35615129507
2024-07-17 12:00:00+00:00,275735.18718079315,228076.38578883902,125446.25715486881,564640.7471297533,695452.6323652597,287194.09568305465,89591.71380501687
2024-07-17 16:00:00+00:00,275760.50618079316,228082.64728883904,125449.51279312019,564701.2341297534,695527.1298652596,287219.11591913697,89585.89795960758
2024-07-17 20:00:00+00:00,274589.4197389825,227793.03246379076,125330.08148375299,561903.512829315,692081.3771815524,286097.5060617982,89384.83587545782
2024-07-18 00:00:00+00:00,271140.97193898255,226940.21616379076,124979.07016376474,553665.1834293151,681934.8176815524,282795.51787465427,88699.53542472981
2024-07-18 04:00:00+00:00,272391.0669345544,227334.49167119674,125141.9980312465,557016.0673966311,686206.4472278412,283998.15951992536,89768.68167247098
2024-07-18 08:00:00+00:00,270833.329715259,226986.16823571376,124998.9422976828,553685.0610974866,682723.9592088914,282666.1910469156,89515.27697963762
2024-07-18 12:00:00+00:00,271479.3421815087,227147.9133539493,125065.67392810246,555223.2237316752,684620.548321085,283286.24077359604,89631.73236033316
2024-07-18 16:00:00+00:00,262528.2378400526,224906.78411003205,124141.71653498687,533910.5479675678,658341.5399071001,274695.63486636,87930.18216058657
2024-07-18 20:00:00+00:00,262305.61241712474,224860.7854979206,124123.42266403463,532898.480959886,656806.6098994048,274401.59019422025,87979.33990154605
2024-07-19 00:00:00+00:00,263092.35641712474,225103.33549792058,124224.2707696863,532898.480959886,656806.6098994048,274402.06582284,88566.8787603941
2024-07-19 04:00:00+00:00,263690.7511483669,225287.81817851652,124300.46900752178,532898.480959886,656806.6098994048,274402.4275843026,89035.05431584195
2024-07-19 08:00:00+00:00,262577.3567483669,224944.56317851652,124159.35925537314,530352.1247558655,653454.0204841358,273352.3844745121,88170.84738252338
2024-07-19 12:00:00+00:00,263319.5161481314,225173.36792620178,124253.8646704104,531972.0623694771,655685.9067956473,274051.41990029014,88754.23206607909
2024-07-19 16:00:00+00:00,266364.8041481314,226112.2179262018,124642.31400630686,538619.1203694771,664843.9617956474,276919.75814996037,91103.14124888356
2024-07-19 20:00:00+00:00,275945.54186737805,228590.35658805023,125666.94232485763,561172.5788690344,693171.2977616328,285767.97980644554,92925.85489465704
2024-07-20 00:00:00+00:00,272294.8144472119,225630.5831097418,124447.32871029034,552565.5028137746,682547.4002979781,282449.52051872096,92261.32532039078
2024-07-20 04:00:00+00:00,271863.06168862927,225269.12946863292,124298.3099165801,551547.5881895105,681290.9665769901,282057.0634035156,92179.34959462173
2024-07-20 08:00:00+00:00,271552.26740840444,225008.93952892796,124191.70712612149,550814.8492858448,680386.5313274121,281774.5558243174,92120.63725048985
2024-07-20 12:00:00+00:00,270979.14610610984,224529.13534147703,123993.89413623308,549463.6394939303,678718.7042756907,281253.59671406256,92009.30535265486
2024-07-20 16:00:00+00:00,273513.89762045915,226651.17196071125,124869.43012187918,555439.6537382907,686095.0260562594,283557.6497798715,92495.48233436958
2024-07-20 20:00:00+00:00,276405.76620184927,229072.1789087229,125867.5647541808,562257.6190249755,694510.5859573751,286186.31717908167,93046.60292315469
2024-07-21 00:00:00+00:00,275697.2012054341,228478.98432495852,125623.67782659113,560587.0826873261,692448.6073427385,285542.24167776597,92908.96124846816
2024-07-21 04:00:00+00:00,276074.08839531464,228794.50575327972,125753.76194687969,561475.6444270046,693545.3780406928,285884.826771568,92978.47444836014
2024-07-21 08:00:00+00:00,272606.90439531463,225891.85775327974,124557.72471526623,551560.1419506666,681425.1995160555,282733.2058415873,92319.62224699343
2024-07-21 12:00:00+00:00,273921.3688877207,226992.29768665312,125011.41984905623,555277.239646243,686017.5241182998,283928.03536490747,92562.50302908615
2024-07-21 16:00:00+00:00,275967.90090002853,228705.60798471095,125718.46358484935,561064.5085080658,693167.4618790371,286353.8984295716,92957.84204440814
2024-07-21 20:00:00+00:00,277873.7417002371,230301.13478312828,126376.27923393188,566453.9248730708,699825.8688921765,288600.4360556065,93318.56293229386
2024-07-22 00:00:00+00:00,283286.73130605376,234832.76721259978,128245.29286794226,581761.0033877073,718737.1483387476,294981.07646244013,94352.39869005006
2024-07-22 04:00:00+00:00,281142.460186621,233037.63194539756,127505.17723966793,575697.3437888501,711245.7409461988,292453.48562185245,93949.85910422134
2024-07-22 08:00:00+00:00,276484.7493673926,229138.3018279271,125898.2085170735,562526.0742316745,694973.1675074667,286963.1410949427,93067.78921714568
2024-07-22 12:00:00+00:00,278455.1107487611,230787.8437971178,126578.30123866374,568097.9445959564,701856.9890935549,289285.73329658195,93440.00332334025
2024-07-22 16:00:00+00:00,275212.22702763684,228072.97491581412,125459.66252019831,558927.5823104376,690527.3755659367,285463.1368364975,92837.92485096898
2024-07-22 20:00:00+00:00,283535.242577105,235040.8152261734,128332.46190259999,582463.753958975,719605.3683862094,295274.01274591626,94429.25093295853
2024-07-23 00:00:00+00:00,278597.1148572124,230906.72642388,126628.69055274247,568499.5097560167,702353.1066871666,289453.12270951323,93467.83629779897
2024-07-23 04:00:00+00:00,278072.39630826574,230467.443926423,126447.57598954113,567015.6886863841,700519.905474427,288834.603070749,93382.12181426684
2024-07-23 08:00:00+00:00,271596.9203082657,225046.321926423,124213.14617598847,548704.066686384,677896.633474427,281201.5413381563,92153.45523529942
2024-07-23 12:00:00+00:00,271284.57460277935,224794.6393777069,124129.11104927087,548901.5167202271,678371.6993905572,281101.8766027917,92279.46521916737
2024-07-23 16:00:00+00:00,271284.50209126866,224794.6393777069,124129.77751325288,548555.9993720275,677944.534081377,280962.1236813452,92157.33246557228
2024-07-23 20:00:00+00:00,271283.4571458219,224794.6393777069,124129.77751325288,543576.8343179129,671788.7604541391,278948.1788930364,90721.78795704582
2024-07-24 00:00:00+00:00,271283.84874582186,224794.6393777069,124130.44398081322,543369.777224744,671528.3848018148,278869.87309361814,91276.09341355506
2024-07-24 04:00:00+00:00,271283.95390416303,224794.6393777069,124130.44398081322,543369.777224744,671528.3848018148,278869.9865093022,91429.93637188178
2024-07-24 08:00:00+00:00,271283.9723811985,224794.6393777069,124131.1104519519,543369.777224744,671528.3848018148,278870.00643720897,91459.70796147696
2024-07-24 12:00:00+00:00,271284.2618491419,224794.6393777069,124131.1104519519,543369.777224744,671528.3848018148,278870.3186350285,91870.55589789039
2024-07-24 16:00:00+00:00,271284.07174914196,224794.6393777069,124131.77692666896,543369.777224744,671528.3848018148,278870.1136078162,91607.45812937486
2024-07-24 20:00:00+00:00,270095.78030848404,223672.03922336808,123667.15395901787,543369.777224744,671528.3848018148,278869.5305419903,90882.0006508208
2024-07-25 00:00:00+00:00,270053.8960123917,223630.6573760575,123652.24070362079,543369.777224744,671528.3848018148,278869.2503847241,90492.89289843735
2024-07-25 04:00:00+00:00,270052.604412403,223630.6573760575,123652.24070362079,543369.777224744,671528.3848018148,278867.8573644975,88724.87589401315
2024-07-25 08:00:00+00:00,270052.63973634626,223630.6573760575,123652.90460722912,543369.777224744,671528.3848018148,278867.89546218084,88781.78809551834
2024-07-25 12:00:00+00:00,270052.6041383359,223630.6573760575,123652.90460722912,543369.777224744,671528.3848018148,278867.8570689098,88736.78452985121
2024-07-25 16:00:00+00:00,270053.28412483627,223630.6573760575,123653.56851440204,543369.777224744,671528.3848018148,278868.59044995427,89693.21415465995
2024-07-25 20:00:00+00:00,270053.19826087507,223630.6573760575,123653.56851440204,543369.777224744,671528.3848018148,278868.4978437018,89549.47968954463
2024-07-26 00:00:00+00:00,270054.2883894921,223630.6573760575,123654.23242513955,543369.777224744,671528.3848018148,278869.67357243085,91077.52383458074
2024-07-26 04:00:00+00:00,272393.1564430302,226011.84428407854,124641.45259506389,543369.777224744,671528.3848018148,278871.00543629925,92795.96768051625
2024-07-26 08:00:00+00:00,271097.29904875025,225115.39106439997,124278.63221579879,543369.777224744,671528.3848018148,278870.8527006678,92601.82922185374
2024-07-26 12:00:00+00:00,274166.2561232302,227663.16586088992,125331.94467791262,543369.777224744,671528.3848018148,278871.2942615842,93183.55223529249
2024-07-26 16:00:00+00:00,275929.1258498366,229126.65816460818,125937.66113994297,543369.777224744,671528.3848018148,278871.54790292,93507.71638060553
2024-07-26 20:00:00+00:00,279151.430180971,231801.73818764035,127043.61060814228,543369.777224744,671528.3848018148,278872.0115274083,94102.04039243108
2024-07-27 00:00:00+00:00,278592.2285809711,231337.5023876404,126852.36525219113,543369.777224744,671528.3848018148,278871.93106959644,93998.60142765158
