entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason,equity_at_trigger
2020-04-07 16:00:00+00:00,long,10227.886587568195,confirmed_long,0.8,long_continuation,2020-04-08 00:00:00+00:00,480.0,-32.07111929339226,signal,
2020-04-08 16:00:00+00:00,long,10195.815468274803,confirmed_long,0.599930704046883,long_continuation,2020-04-09 04:00:00+00:00,720.0,-0.3699637583194999,signal,
2020-04-09 20:00:00+00:00,long,10195.445504516483,probe_long,0.3,long_probe,2020-04-10 05:01:00+00:00,541.0,-16.97993233863781,stop_loss,10178.714878965839
2020-04-23 20:00:00+00:00,long,10178.465572177845,confirmed_long,0.7770935403517053,long_continuation,2020-04-29 10:06:00+00:00,8046.0,811.3382149534864,take_profit,10997.949489374703
2020-04-30 04:00:00+00:00,long,10989.803787131332,confirmed_long,1.0,long_continuation,2020-04-30 09:06:00+00:00,306.0,-569.7450695559182,stop_loss,10427.099986573981
2020-05-01 00:00:00+00:00,long,10420.058717575414,confirmed_long,0.8,long_continuation,2020-05-03 14:50:00+00:00,3770.0,147.89120986322814,stop_loss,10572.132200914048
2020-05-03 16:00:00+00:00,long,10567.949927438642,probe_long,0.26147581219984917,long_probe,2020-05-03 16:00:00+00:00,0.0,-8.066556039018906,stop_loss,10561.048778834935
2020-05-04 20:00:00+00:00,long,10559.883371399623,probe_long,0.4092343289251515,long_probe,2020-05-07 13:22:00+00:00,3922.0,315.76331429115453,take_profit,10881.189264506336
2020-05-08 08:00:00+00:00,long,10875.646685690777,confirmed_long,0.7838156080997409,long_continuation,2020-05-09 07:55:00+00:00,1435.0,65.06848618994991,stop_loss,10942.547436695568
2020-05-14 12:00:00+00:00,long,10940.715171880727,confirmed_long,0.9980815080344992,long_continuation,2020-05-15 02:33:00+00:00,873.0,-75.82608488265032,stop_loss,10865.922164602567
2020-05-16 12:00:00+00:00,long,10864.889086998077,probe_long,0.0,long_probe,2020-05-18 12:00:00+00:00,2880.0,-102.58998394587616,signal,
2020-05-19 20:00:00+00:00,long,10762.2991030522,probe_long,0.20089762593821142,long_probe,2020-05-20 15:50:00+00:00,1190.0,-62.84519768501377,stop_loss,10700.721799739624
2020-05-26 16:00:00+00:00,short,10699.453905367187,probe_short,0.6550123816072434,short_release,2020-05-27 10:29:00+00:00,1109.0,-28.201262618029432,stop_loss,10671.715487728176
2020-05-29 08:00:00+00:00,long,10671.252642749158,confirmed_long,0.8,long_continuation,2020-05-31 15:31:00+00:00,3331.0,-121.7668413725296,stop_loss,10556.301308512178
2020-06-01 16:00:00+00:00,long,10549.485801376628,probe_long,0.2905899482248312,long_probe,2020-06-01 20:01:00+00:00,241.0,21.59542829585189,signal,
2020-06-02 08:00:00+00:00,long,10571.08122967248,confirmed_long,0.8,long_continuation,2020-06-02 14:46:00+00:00,406.0,-199.27348449354395,stop_loss,10374.920066937042
2020-06-15 12:00:00+00:00,short,10371.807745178936,confirmed_short,0.8,short_release,2020-06-15 16:04:00+00:00,244.0,-38.6510053609054,stop_loss,10333.917799562752
2020-06-20 00:00:00+00:00,short,10333.15673981803,probe_short,0.51,short_release,2020-06-20 04:00:00+00:00,240.0,-0.9523512632604252,signal,
2020-06-24 00:00:00+00:00,long,10332.20438855477,confirmed_long,0.8,long_continuation,2020-06-24 08:00:00+00:00,480.0,-290.63821224486855,stop_loss,10044.115767505145
2020-06-26 04:00:00+00:00,short,10041.566176309901,confirmed_short,0.7850414361734852,short_release,2020-06-27 12:00:00+00:00,1920.0,11.21427469358423,signal,
2020-06-28 00:00:00+00:00,short,10052.780451003486,confirmed_short,0.7237244701725493,short_release,2020-06-28 14:52:00+00:00,892.0,-23.900512688447634,stop_loss,10029.508483227452
2020-06-29 04:00:00+00:00,short,10028.879938315038,probe_short,0.5308491735164995,short_release,2020-06-29 17:59:00+00:00,839.0,-10.632943563283334,stop_loss,10018.91560886558
2020-06-30 12:00:00+00:00,short,10018.246994751755,probe_short,0.5448584826917987,short_release,2020-06-30 20:00:00+00:00,480.0,1.268522068990933,signal,
2020-07-04 16:00:00+00:00,short,10019.515516820746,confirmed_short,0.5054472363196595,short_release,2020-07-06 06:20:00+00:00,2300.0,-17.236056440888206,stop_loss,10002.531162830732
2020-07-22 08:00:00+00:00,long,10002.279460379857,confirmed_long,0.7857953362097045,long_continuation,2020-07-22 22:32:00+00:00,872.0,654.4541756576164,take_profit,10673.728583411645
2020-07-23 16:00:00+00:00,long,10656.733636037474,confirmed_long,0.7468695580961564,long_continuation,2020-07-24 06:46:00+00:00,886.0,-204.76746055755575,stop_loss,10472.120142834869
2020-07-24 08:00:00+00:00,long,10451.966175479918,confirmed_long,0.7922200996096714,long_continuation,2020-07-26 08:48:00+00:00,2928.0,663.992938840669,take_profit,11130.824375221993
2020-07-27 04:00:00+00:00,long,11115.959114320587,confirmed_long,1.0,long_continuation,2020-07-27 17:01:00+00:00,781.0,619.4410242774102,take_profit,11740.073294468344
2020-07-27 20:00:00+00:00,long,11735.400138597997,confirmed_long,1.0,long_continuation,2020-07-27 21:38:00+00:00,98.0,28.80646127955879,take_profit,11768.277293144409
