,main_v43,xuyujian_v71_ref,wzy_v71_risk_adjusted_plus
2024-03-05 20:00:00+00:00,42389.38071445227,18041.089861837474,25549.365417755413
2024-03-06 00:00:00+00:00,42389.38071445227,18041.752067446567,25549.365417755413
2024-03-06 04:00:00+00:00,42389.38071445227,18041.752067446567,25549.365417755413
2024-03-06 08:00:00+00:00,42389.38071445227,18041.752067446567,25549.365417755413
2024-03-06 12:00:00+00:00,42407.62469697929,18041.752067446567,25549.365417755413
2024-03-06 16:00:00+00:00,42382.45849697929,18041.752067446567,25549.365417755413
2024-03-06 20:00:00+00:00,42381.187691641346,18041.752067446567,25549.365417755413
2024-03-07 00:00:00+00:00,42381.187691641346,18041.752067446567,25549.365417755413
2024-03-07 04:00:00+00:00,42381.187691641346,18041.752067446567,25549.365417755413
2024-03-07 08:00:00+00:00,42381.187691641346,18041.752067446567,25549.365417755413
2024-03-07 12:00:00+00:00,42381.187691641346,18041.752067446567,25549.365417755413
2024-03-07 16:00:00+00:00,42381.187691641346,18041.752067446567,25549.365417755413
2024-03-07 20:00:00+00:00,42406.52345921755,18041.752067446567,25549.365417755413
2024-03-08 00:00:00+00:00,42382.4378827284,18041.752067446567,25549.365417755413
2024-03-08 04:00:00+00:00,42419.67481105197,18041.752067446567,25549.365417755413
2024-03-08 08:00:00+00:00,42420.46895790708,18041.752067446567,25549.365417755413
2024-03-08 12:00:00+00:00,42479.181262951584,18041.752067446567,25549.365417755413
2024-03-08 16:00:00+00:00,42472.09593408344,18041.752067446567,25549.365417755413
2024-03-08 20:00:00+00:00,42607.45610840114,18041.752067446567,25549.365417755413
2024-03-09 00:00:00+00:00,42582.71008314906,18041.752067446567,25549.365417755413
2024-03-09 04:00:00+00:00,42586.30856895958,18041.752067446567,25549.365417755413
2024-03-09 08:00:00+00:00,42587.89586895958,18041.752067446567,25549.365417755413
2024-03-09 12:00:00+00:00,42583.93691675002,18041.752067446567,25549.365417755413
2024-03-09 16:00:00+00:00,42582.44255194112,18041.752067446567,25549.365417755413
2024-03-09 20:00:00+00:00,42569.97820600652,18041.752067446567,25549.365417755413
2024-03-10 00:00:00+00:00,42582.69587066622,18041.752067446567,25549.365417755413
2024-03-10 04:00:00+00:00,42681.10865216842,18041.752067446567,25549.365417755413
2024-03-10 08:00:00+00:00,42710.23272780767,18041.752067446567,25549.365417755413
2024-03-10 12:00:00+00:00,42734.23298150033,18041.752067446567,25549.365417755413
2024-03-10 16:00:00+00:00,42714.11045322023,18041.752067446567,25549.365417755413
2024-03-10 20:00:00+00:00,42742.40311193996,18041.752067446567,25549.365417755413
2024-03-11 00:00:00+00:00,42719.526425501324,18041.752067446567,25549.365417755413
2024-03-11 04:00:00+00:00,42703.02336512797,18041.752067446567,25549.365417755413
2024-03-11 08:00:00+00:00,42701.52388102192,18041.752067446567,25549.365417755413
2024-03-11 12:00:00+00:00,42729.84838987812,18041.752067446567,25549.365417755413
2024-03-11 16:00:00+00:00,42787.29589338119,18041.752067446567,25549.365417755413
2024-03-11 20:00:00+00:00,42776.9632713432,18041.752067446567,25544.565191107773
2024-03-12 00:00:00+00:00,42794.050646377844,18041.752067446567,25564.165415412215
2024-03-12 04:00:00+00:00,42724.32389407352,18041.752067446567,25484.184728945493
2024-03-12 08:00:00+00:00,42792.60949407352,18041.752067446567,25562.512328945493
2024-03-12 12:00:00+00:00,42777.71810586952,18041.752067446567,25545.431030711494
2024-03-12 16:00:00+00:00,42733.17009197704,18041.752067446567,25494.331838305414
2024-03-12 20:00:00+00:00,42677.06591407287,18041.752067446567,25223.82728180569
