entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason
2021-12-04 04:00:00+00:00,short,79166.40148470229,,,,2021-12-07 00:00:00+00:00,4080.0,120.2307260800444,signal
2021-12-07 12:00:00+00:00,short,79286.63221078234,,,,2021-12-12 16:00:00+00:00,7440.0,512.379615173937,signal
2021-12-29 08:00:00+00:00,short,79799.01182595627,,,,2021-12-31 16:00:00+00:00,3360.0,-217.26821050899161,signal
2022-01-01 04:00:00+00:00,short,79581.74361544728,,,,2022-01-03 08:00:00+00:00,3120.0,-27.004567716852762,signal
2022-01-06 04:00:00+00:00,short,79554.73904773043,,,,2022-01-11 20:00:00+00:00,8160.0,-54.255724339032895,signal
2022-01-19 00:00:00+00:00,short,79500.4833233914,,,,2022-01-20 16:00:00+00:00,2400.0,-146.35308130664635,signal
2022-01-21 08:01:00+00:00,short,79354.13024208475,,,,2022-01-25 00:00:00+00:00,5279.0,127.22704825174878,signal
2022-01-25 12:00:00+00:00,short,79481.3572903365,,,,2022-01-28 12:00:00+00:00,4320.0,-1.7023414208961185,signal
2022-02-06 08:01:00+00:00,long,79479.6549489156,,,,2022-02-08 20:00:00+00:00,3599.0,-575.5724619505199,signal
2022-02-09 08:00:00+00:00,long,78904.08248696508,,,,2022-02-11 00:00:00+00:00,2400.0,-1084.4477819215826,signal
2022-02-21 04:00:00+00:00,short,77819.6347050435,,,,2022-02-23 12:00:00+00:00,3360.0,60.37470861330803,signal
2022-02-24 00:00:00+00:00,short,77880.00941365681,,,,2022-02-24 20:00:00+00:00,1200.0,-7.82318447738362,signal
2022-03-02 04:00:00+00:00,long,77872.18622917942,,,,2022-03-03 16:00:00+00:00,2160.0,-4271.741541354611,signal
2022-03-04 04:00:00+00:00,long,73600.44468782481,,,,2022-03-05 00:00:00+00:00,1200.0,-1374.292579364046,signal
2022-03-07 12:00:00+00:00,short,72226.15210846077,,,,2022-03-09 04:00:00+00:00,2400.0,-1218.23750781719,signal
2022-03-20 00:00:00+00:00,long,71007.91460064358,,,,2022-03-31 16:00:00+00:00,16800.0,11370.580596886124,signal
2022-04-14 04:00:00+00:00,short,82378.4951975297,,,,2022-04-18 20:00:00+00:00,6720.0,-755.0226128456707,signal
2022-04-23 04:00:00+00:00,short,81623.47258468403,,,,2022-04-25 20:00:00+00:00,3840.0,-502.49343261652393,signal
