,V1,V2,V3,V4.1,V5,V6,BTC
2023-06-13 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35857.179453449
2023-06-13 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36078.45852402152
2023-06-13 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36086.21298456724
2023-06-13 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36249.4720735566
2023-06-13 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35657.917511925945
2023-06-13 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35852.19444309819
2023-06-14 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35889.305075709846
2023-06-14 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35962.28008834546
2023-06-14 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35842.36289490629
2023-06-14 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35957.43355050439
2023-06-14 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35970.17302140093
2023-06-14 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35809.68338260647
2023-06-15 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,34778.61707504518
2023-06-15 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,34694.01037159098
2023-06-15 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,34582.955418775484
2023-06-15 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,34627.82051193287
2023-06-15 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,34546.675621222304
2023-06-15 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35231.56065442108
2023-06-16 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35429.71481586618
2023-06-16 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35373.7719219292
2023-06-16 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35346.63131001918
2023-06-16 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35258.97821135059
2023-06-16 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,35770.772607368126
2023-06-16 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36516.862489874205
2023-06-17 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36468.12016644396
2023-06-17 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36353.74187339459
