,baseline,relax_probes,softer_short_block,freer_range_rebound,balanced_relax,balanced_relax_plus,probe_range_relax_only
2020-03-29 12:00:00+00:00,10426.95142245359,10373.164732237345,10394.103498534667,10426.95142245359,10394.103498534667,10411.816761088083,10388.778164003534
2020-03-29 16:00:00+00:00,10428.39706889543,10374.601170740065,10395.539937037387,10428.39706889543,10395.539937037387,10413.262407529923,10390.214602506254
2020-03-29 20:00:00+00:00,10463.121081782134,10409.104011570165,10430.042777867488,10463.121081782134,10430.042777867488,10447.986420416626,10424.717443336354
2020-03-30 00:00:00+00:00,10467.110335625684,10413.067856153564,10434.006622450886,10467.110335625684,10434.006622450886,10451.975674260177,10428.681287919753
2020-03-30 04:00:00+00:00,10447.361705301022,10393.445013283199,10414.383779580521,10447.361705301022,10414.383779580521,10432.227043935514,10409.058445049388
2020-03-30 08:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-30 12:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-30 16:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-30 20:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-31 00:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-31 04:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-31 08:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-31 12:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-31 16:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-03-31 20:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-01 00:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-01 04:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-01 08:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-01 12:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-01 16:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-01 20:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-02 00:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-02 04:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-02 08:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-02 12:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-02 16:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-02 20:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-03 00:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-03 04:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-03 08:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-03 12:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-03 16:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
