entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,entry_signal_mode,exit_time,holding_minutes,pnl,exit_reason,equity_at_trigger
2022-04-25 08:00:00+00:00,short,10966.516653258059,confirmed_breakout_short,0.9232105993253035,breakout_follow,breakout,2022-04-25 09:24:00+00:00,84.0,28.392711699903884,take_profit,10997.469463000749
2022-04-26 20:00:00+00:00,short,10994.909364957963,confirmed_breakout_short,0.9552280403445141,breakout_follow,breakout,2022-04-27 00:00:00+00:00,240.0,13.496795418492184,signal,
2022-05-03 20:00:00+00:00,short,11008.406160376455,confirmed_breakout_short,0.9166664641342976,breakout_follow,breakout,2022-05-04 00:00:00+00:00,240.0,-2.844670580481761,signal,
2022-05-04 20:00:00+00:00,long,11005.561489795973,confirmed_breakout_long,0.9966445401049513,breakout_follow,breakout,2022-05-05 00:00:00+00:00,240.0,-28.432885247762897,signal,
2022-05-08 00:00:00+00:00,short,10977.12860454821,confirmed_breakout_short,0.8510970301381748,breakout_follow,breakout,2022-05-08 03:12:00+00:00,192.0,148.0211014966044,take_profit,11127.397889782253
2022-05-08 04:00:00+00:00,short,11125.149706044815,confirmed_breakout_short,0.9314846083965158,breakout_follow,breakout,2022-05-08 08:00:00+00:00,240.0,-15.53965979444365,signal,
2022-05-09 12:00:00+00:00,short,11109.610046250371,confirmed_breakout_short,0.8760529340908824,breakout_follow,breakout,2022-05-09 16:51:00+00:00,291.0,146.02426611246847,take_profit,11257.26891729479
2022-05-12 08:00:00+00:00,short,11255.63431236284,confirmed_breakout_short,0.9093260602845037,breakout_follow,breakout,2022-05-12 12:00:00+00:00,240.0,-16.77777711411909,signal,
2022-05-26 12:00:00+00:00,short,11238.85653524872,confirmed_breakout_short,0.6295636327554228,breakout_follow,breakout,2022-05-26 15:21:00+00:00,201.0,-74.6963136522736,stop_loss,11166.38566466967
2022-05-26 16:00:00+00:00,short,11164.160221596447,confirmed_breakout_short,0.7201567687396302,breakout_follow,breakout,2022-05-26 16:04:00+00:00,4.0,-14.359398032191166,stop_loss,11151.672553831138
2022-05-30 04:00:00+00:00,long,11149.800823564256,confirmed_breakout_long,0.9077201701715272,breakout_follow,breakout,2022-05-30 12:00:00+00:00,480.0,62.75871237101819,signal,
2022-05-31 00:00:00+00:00,long,11212.559535935274,confirmed_breakout_long,0.9731072479361771,breakout_follow,breakout,2022-05-31 04:00:00+00:00,240.0,3.4123011385981954,signal,
2022-05-31 16:00:00+00:00,long,11215.971837073872,confirmed_breakout_long,0.880162593601318,breakout_follow,breakout,2022-05-31 20:00:00+00:00,240.0,-76.16146054872661,signal,
2022-06-03 16:00:00+00:00,short,11139.810376525145,confirmed_breakout_short,0.9213470013512188,breakout_follow,breakout,2022-06-03 20:00:00+00:00,240.0,-13.156716080426122,signal,
2022-06-08 00:00:00+00:00,long,11126.65366044472,confirmed_breakout_long,0.9199284732253363,breakout_follow,breakout,2022-06-08 03:24:00+00:00,204.0,-86.46811734159564,stop_loss,11042.196880177456
2022-06-11 12:00:00+00:00,short,11040.185543103124,confirmed_breakout_short,0.8800313247730511,breakout_follow,breakout,2022-06-11 20:00:00+00:00,480.0,21.217204706279517,signal,
2022-06-12 04:00:00+00:00,short,11061.402747809403,confirmed_breakout_short,0.9089134894352964,breakout_follow,breakout,2022-06-12 08:00:00+00:00,240.0,-14.112633842674768,signal,
2022-06-13 04:01:00+00:00,short,11047.290113966728,confirmed_breakout_short,0.9939270085101204,breakout_follow,breakout,2022-06-13 04:25:00+00:00,24.0,-83.14024420414171,stop_loss,10965.448108580109
2022-06-13 08:00:00+00:00,short,10964.149869762587,confirmed_breakout_short,0.9339811424910252,breakout_follow,breakout,2022-06-13 09:39:00+00:00,99.0,73.42912823518054,take_profit,11038.645517546978
2022-06-14 04:00:00+00:00,short,11037.578997997767,confirmed_breakout_short,0.9181796751794,breakout_follow,breakout,2022-06-14 05:22:00+00:00,82.0,-72.12866329455028,stop_loss,10966.23771187929
2022-06-15 12:00:00+00:00,short,10965.450334703217,confirmed_breakout_short,0.8229225225025303,breakout_follow,breakout,2022-06-15 16:00:00+00:00,240.0,-18.898221676110552,signal,
2022-06-18 12:00:00+00:00,short,10946.552113027106,confirmed_breakout_short,0.9012476445950448,breakout_follow,breakout,2022-06-18 16:00:00+00:00,240.0,27.376948291013832,signal,
2022-06-18 20:00:00+00:00,short,10973.92906131812,confirmed_breakout_short,0.90155679504266,breakout_follow,breakout,2022-06-18 21:26:00+00:00,86.0,-71.91001655596665,stop_loss,10902.957607656355
2022-06-30 12:00:00+00:00,short,10902.019044762153,confirmed_breakout_short,0.9192230641017005,breakout_follow,breakout,2022-06-30 20:00:00+00:00,480.0,28.359529508989,signal,
2022-07-05 20:00:00+00:00,long,10930.378574271142,confirmed_breakout_long,0.8455572893858208,breakout_follow,breakout,2022-07-06 00:00:00+00:00,240.0,-46.453391459617706,signal,
2022-07-07 16:00:00+00:00,long,10883.925182811525,confirmed_breakout_long,0.8405212992861988,breakout_follow,breakout,2022-07-07 19:39:00+00:00,219.0,173.18133291451522,take_profit,11059.564174487867
2022-07-13 16:00:00+00:00,short,11057.10651572604,confirmed_breakout_short,0.917400303191821,breakout_follow,breakout,2022-07-13 17:03:00+00:00,63.0,-73.10807279589426,stop_loss,10985.726045812296
2022-07-16 20:00:00+00:00,long,10983.998442930146,confirmed_breakout_long,0.6749098079000906,breakout_follow,breakout,2022-07-17 00:00:00+00:00,240.0,-2.9081400024970208,signal,
